Language,subj,age,age_scaled,task,prompt,spanish,num_responses,response,correct,correct_either,wrong_adjacent,wrong_euc_dist
Shipibo,sh_12,6.5,-1.9654054054054058,Comprehension,Pei/Xo,Verde,2,"297, 245",0,0,0,116.87144232383861
Shipibo,sh_12,6.5,-1.9654054054054058,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_12,6.5,-1.9654054054054058,Comprehension,Yankon,Azul/Verde,4,"234, 245, 320, 1",0.75,0.75,1,
Shipibo,sh_12,6.5,-1.9654054054054058,Production,1,Celeste,1,Yankon,1,1,,
Shipibo,sh_12,6.5,-1.9654054054054058,Production,234,Verde,1,Panshin,0,0,0,119.88323068719829
Shipibo,sh_12,6.5,-1.9654054054054058,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_12,6.5,-1.9654054054054058,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_12,6.5,-1.9654054054054058,Production,297,Amarillo,1,Naranja,0,0,,
Shipibo,sh_12,6.5,-1.9654054054054058,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_12,6.5,-1.9654054054054058,Production,320,Mierda sol,1,Naranja,0,0,,
Shipibo,sh_12,6.5,-1.9654054054054058,Production,325,Morado,1,Yankon,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Comprehension,Barin Poi,Mierda sol,1,297,0,0,0,61.75681419892059
Shipibo,sh_13,6,-2.4654054054054058,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Comprehension,Pei/Xo,Verde,2,"234, 1",0.5,0.5,0,75.71344992800157
Shipibo,sh_13,6,-2.4654054054054058,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Comprehension,Yankon,Azul/Verde,4,"234, 1, 325, 245",0.75,0.75,1,
Shipibo,sh_13,6,-2.4654054054054058,Production,1,Celeste,1,Celeste,0,1,,
Shipibo,sh_13,6,-2.4654054054054058,Production,234,Verde,2,"Yankon, Verde",0.5,1,,
Shipibo,sh_13,6,-2.4654054054054058,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_13,6,-2.4654054054054058,Production,320,Mierda sol,1,Marron,0,0,,
Shipibo,sh_13,6,-2.4654054054054058,Production,325,Morado,1,Violeta,0,1,,
Shipibo,sh_14,6.3,-2.165405405405406,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_14,6.3,-2.165405405405406,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_14,6.3,-2.165405405405406,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_14,6.3,-2.165405405405406,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_14,6.3,-2.165405405405406,Comprehension,Nai,Celeste,1,325,0,0,0,58.349317905182055
Shipibo,sh_14,6.3,-2.165405405405406,Comprehension,Panshin,Amarillo,1,320,0,0,0,61.75681419892059
Shipibo,sh_14,6.3,-2.165405405405406,Comprehension,Pei/Xo,Verde,2,"234, 325",0.5,0.5,0,104.20868389918375
Shipibo,sh_14,6.3,-2.165405405405406,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_14,6.3,-2.165405405405406,Comprehension,Yankon,Azul/Verde,4,"325, 1, 234, 320",1,1,,
Shipibo,sh_14,6.3,-2.165405405405406,Production,1,Celeste,1,Yankon,1,1,,
Shipibo,sh_14,6.3,-2.165405405405406,Production,234,Verde,1,Yankon,1,1,,
Shipibo,sh_14,6.3,-2.165405405405406,Production,245,Rojo,3,"Yankon, Panshin, Joshin",0.3333333333333333,0.3333333333333333,1,93.1910736068643
Shipibo,sh_14,6.3,-2.165405405405406,Production,274,Blanco,2,"Joxo, Panshin",0.5,0.5,0,109.73825859744632
Shipibo,sh_14,6.3,-2.165405405405406,Production,297,Amarillo,3,"Joshin, Yankon, Joshin",0,0,1,93.1910736068643
Shipibo,sh_14,6.3,-2.165405405405406,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_14,6.3,-2.165405405405406,Production,320,Mierda sol,2,"Barin Poi, Wiso",0.5,0.5,1,67.19189385632764
Shipibo,sh_14,6.3,-2.165405405405406,Production,325,Morado,1,Ami,1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Comprehension,Pei/Xo,Verde,2,"234, 1",0.5,0.5,0,75.71344992800157
Shipibo,sh_15,8.4,-0.0654054054054054,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Comprehension,Yankon,Azul/Verde,4,"234, 1, 325, 320",1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Production,1,Celeste,2,"Yankon, Nai",1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Production,234,Verde,2,"Verde, Yankon",0.5,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Production,245,Rojo,2,"Joshin, Rojo",0.5,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Production,297,Amarillo,2,"Panshin, Amarillo",0.5,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Production,312,Negro,2,"Wiso, Negro",0.5,1,,
Shipibo,sh_15,8.4,-0.0654054054054054,Production,320,Mierda sol,2,"Manxan, manxanpui",0,0,0,
Shipibo,sh_15,8.4,-0.0654054054054054,Production,325,Morado,1,Violeta,0,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_16,7.3,-1.165405405405406,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Comprehension,Yankon,Azul/Verde,4,"234, 320, 1, 325",1,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Production,1,Celeste,1,agna,0,0,,
Shipibo,sh_16,7.3,-1.165405405405406,Production,234,Verde,2,"Yankon, Verde",0.5,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Production,245,Rojo,2,"Joshin, Rojo",0.5,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Production,297,Amarillo,2,"Panshin, Amarillo",0.5,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Production,312,Negro,2,"Wiso, Negro",0.5,1,,
Shipibo,sh_16,7.3,-1.165405405405406,Production,320,Mierda sol,1,Panshin,0,0,0,61.75681419892059
Shipibo,sh_16,7.3,-1.165405405405406,Production,325,Morado,2,"Violeta, Kari",0.5,1,,
Shipibo,sh_17,9.3,0.834594594594595,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_17,9.3,0.834594594594595,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_17,9.3,0.834594594594595,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_17,9.3,0.834594594594595,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_17,9.3,0.834594594594595,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_17,9.3,0.834594594594595,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_17,9.3,0.834594594594595,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_17,9.3,0.834594594594595,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_17,9.3,0.834594594594595,Comprehension,Yankon,Azul/Verde,4,"1, 234, 320, 325",1,1,,
Shipibo,sh_17,9.3,0.834594594594595,Production,1,Celeste,1,Yankon,1,1,,
Shipibo,sh_17,9.3,0.834594594594595,Production,234,Verde,2,"Yankon, Azul",0.5,0.5,,
Shipibo,sh_17,9.3,0.834594594594595,Production,245,Rojo,2,"Joshin, Amarillo",0.5,0.5,,
Shipibo,sh_17,9.3,0.834594594594595,Production,274,Blanco,2,"Joxo, Blanco",0.5,1,,
Shipibo,sh_17,9.3,0.834594594594595,Production,297,Amarillo,2,"Panshin, Amarillo",0.5,1,,
Shipibo,sh_17,9.3,0.834594594594595,Production,312,Negro,2,"Wiso, Blanco",0.5,0.5,,
Shipibo,sh_17,9.3,0.834594594594595,Production,320,Mierda sol,1,Barin Poi,1,1,,
Shipibo,sh_17,9.3,0.834594594594595,Production,325,Morado,2,"Violeta, Kari",0.5,1,,
Shipibo,sh_18,8,-0.46540540540540576,Comprehension,Ami/Poa,Morado,1,1,0,0,0,58.349317905182055
Shipibo,sh_18,8,-0.46540540540540576,Comprehension,Barin Poi,Mierda sol,1,297,0,0,0,61.75681419892059
Shipibo,sh_18,8,-0.46540540540540576,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_18,8,-0.46540540540540576,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_18,8,-0.46540540540540576,Comprehension,Nai,Celeste,1,325,0,0,0,58.349317905182055
Shipibo,sh_18,8,-0.46540540540540576,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_18,8,-0.46540540540540576,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_18,8,-0.46540540540540576,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_18,8,-0.46540540540540576,Comprehension,Yankon,Azul/Verde,4,"234, 1, 320, 245",0.75,0.75,1,
Shipibo,sh_18,8,-0.46540540540540576,Production,1,Celeste,1,Celeste,0,1,,
Shipibo,sh_18,8,-0.46540540540540576,Production,234,Verde,1,Verde,0,1,,
Shipibo,sh_18,8,-0.46540540540540576,Production,245,Rojo,2,"Rojo, Joshin",0.5,1,,
Shipibo,sh_18,8,-0.46540540540540576,Production,274,Blanco,2,"Joxo, Blanco",0.5,1,,
Shipibo,sh_18,8,-0.46540540540540576,Production,297,Amarillo,2,"Amarillo, Panshin",0.5,1,,
Shipibo,sh_18,8,-0.46540540540540576,Production,312,Negro,2,"Wiso, Negro",0.5,1,,
Shipibo,sh_18,8,-0.46540540540540576,Production,320,Mierda sol,2,"Verde, manish",0,0,,
Shipibo,sh_18,8,-0.46540540540540576,Production,325,Morado,1,Morado,0,1,,
Shipibo,sh_19,6,-2.4654054054054058,Comprehension,Ami/Poa,Morado,1,320,0,0,0,100.49231861192177
Shipibo,sh_19,6,-2.4654054054054058,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_19,6,-2.4654054054054058,Comprehension,Joshin,Rojo,2,"245, 234",0.5,0.5,0,113.85965396047891
Shipibo,sh_19,6,-2.4654054054054058,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_19,6,-2.4654054054054058,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_19,6,-2.4654054054054058,Comprehension,Panshin,Amarillo,1,325,0,0,0,146.31869463605804
Shipibo,sh_19,6,-2.4654054054054058,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_19,6,-2.4654054054054058,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_19,6,-2.4654054054054058,Comprehension,Yankon,Azul/Verde,4,"297, 320, 325, 274",0.5,0.5,1,
Shipibo,sh_19,6,-2.4654054054054058,Production,1,Celeste,2,"Panshin, Joxo",0,0,0,99.64211361214704
Shipibo,sh_19,6,-2.4654054054054058,Production,234,Verde,2,"Panshin, Pei",0.5,0.5,0,119.88323068719829
Shipibo,sh_19,6,-2.4654054054054058,Production,245,Rojo,1,Panshin,0,0,1,93.1910736068643
Shipibo,sh_19,6,-2.4654054054054058,Production,274,Blanco,2,"Joxo, Panshin",0.5,0.5,0,109.73825859744632
Shipibo,sh_19,6,-2.4654054054054058,Production,297,Amarillo,2,"Joa, Panshin",0.5,0.5,,
Shipibo,sh_19,6,-2.4654054054054058,Production,312,Negro,2,"Wiso, Panshin",0.5,0.5,0,125.11577078849812
Shipibo,sh_19,6,-2.4654054054054058,Production,320,Mierda sol,2,"Pei, Barin Poi",0.5,0.5,0,62.08941536204057
Shipibo,sh_19,6,-2.4654054054054058,Production,325,Morado,2,"Panshin, Yankon",0.5,0.5,0,146.31869463605804
Shipibo,sh_2,7.4,-1.0654054054054054,Comprehension,Ami/Poa,Morado,1,320,0,0,0,100.49231861192177
Shipibo,sh_2,7.4,-1.0654054054054054,Comprehension,Barin Poi,Mierda sol,1,325,0,0,0,100.49231861192177
Shipibo,sh_2,7.4,-1.0654054054054054,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_2,7.4,-1.0654054054054054,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_2,7.4,-1.0654054054054054,Comprehension,Nai,Celeste,1,312,0,0,0,57.01785334436926
Shipibo,sh_2,7.4,-1.0654054054054054,Comprehension,Panshin,Amarillo,1,234,0,0,0,119.88323068719829
Shipibo,sh_2,7.4,-1.0654054054054054,Comprehension,Pei/Xo,Verde,2,"274, 325",0,0,0,89.5449101878011
Shipibo,sh_2,7.4,-1.0654054054054054,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_2,7.4,-1.0654054054054054,Comprehension,Yankon,Azul/Verde,4,"234, 320, 1, 325",1,1,,
Shipibo,sh_2,7.4,-1.0654054054054054,Production,1,Celeste,1,Celeste,0,1,,
Shipibo,sh_2,7.4,-1.0654054054054054,Production,234,Verde,1,Verde,0,1,,
Shipibo,sh_2,7.4,-1.0654054054054054,Production,245,Rojo,1,Rojo,0,1,,
Shipibo,sh_2,7.4,-1.0654054054054054,Production,274,Blanco,1,Blanco,0,1,,
Shipibo,sh_2,7.4,-1.0654054054054054,Production,297,Amarillo,1,Amarillo,0,1,,
Shipibo,sh_2,7.4,-1.0654054054054054,Production,312,Negro,2,"Negro, Wiso",0.5,1,,
Shipibo,sh_2,7.4,-1.0654054054054054,Production,320,Mierda sol,1,Verde,0,0,,
Shipibo,sh_2,7.4,-1.0654054054054054,Production,325,Morado,1,Morado,0,1,,
Shipibo,sh_20,6.6,-1.8654054054054061,Comprehension,Ami/Poa,Morado,1,320,0,0,0,100.49231861192177
Shipibo,sh_20,6.6,-1.8654054054054061,Comprehension,Barin Poi,Mierda sol,1,312,0,0,1,67.19189385632764
Shipibo,sh_20,6.6,-1.8654054054054061,Comprehension,Joshin,Rojo,2,"245, 297",0.5,0.5,1,93.1910736068643
Shipibo,sh_20,6.6,-1.8654054054054061,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_20,6.6,-1.8654054054054061,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_20,6.6,-1.8654054054054061,Comprehension,Panshin,Amarillo,1,234,0,0,0,119.88323068719829
Shipibo,sh_20,6.6,-1.8654054054054061,Comprehension,Pei/Xo,Verde,2,"325, 1",0,0,0,89.96106691359266
Shipibo,sh_20,6.6,-1.8654054054054061,Comprehension,Wiso,Negro,1,234,0,0,0,59.60879549194061
Shipibo,sh_20,6.6,-1.8654054054054061,Comprehension,Yankon,Azul/Verde,4,"245, 320, 297, 312",0.25,0.25,1,
Shipibo,sh_20,6.6,-1.8654054054054061,Production,1,Celeste,1,Wiso,0,0,0,57.01785334436926
Shipibo,sh_20,6.6,-1.8654054054054061,Production,234,Verde,1,Panshin,0,0,0,119.88323068719829
Shipibo,sh_20,6.6,-1.8654054054054061,Production,245,Rojo,1,Wiso,0,0,1,72.88365866228177
Shipibo,sh_20,6.6,-1.8654054054054061,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_20,6.6,-1.8654054054054061,Production,297,Amarillo,1,Verde,0,0,,
Shipibo,sh_20,6.6,-1.8654054054054061,Production,312,Negro,1,Marron,0,0,,
Shipibo,sh_20,6.6,-1.8654054054054061,Production,320,Mierda sol,1,Wiso,0,0,1,67.19189385632764
Shipibo,sh_20,6.6,-1.8654054054054061,Production,325,Morado,1,,0,0,,
Shipibo,sh_21,9.5,1.0345945945945942,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_21,9.5,1.0345945945945942,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Comprehension,Yankon,Azul/Verde,4,"1, 234, 320, 325",1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Production,1,Celeste,2,"Yankon, Nai",1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Production,234,Verde,2,"Yankon, Nai",0.5,0.5,0,75.71344992800157
Shipibo,sh_21,9.5,1.0345945945945942,Production,245,Rojo,2,"Joshin, Amarillo",0.5,0.5,,
Shipibo,sh_21,9.5,1.0345945945945942,Production,274,Blanco,2,"Joxo, Nai",0.5,0.5,0,49.223397891653114
Shipibo,sh_21,9.5,1.0345945945945942,Production,297,Amarillo,1,Panshin,1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Production,312,Negro,1,Wiso,1,1,,
Shipibo,sh_21,9.5,1.0345945945945942,Production,320,Mierda sol,1,,0,0,,
Shipibo,sh_21,9.5,1.0345945945945942,Production,325,Morado,1,Azul,0,0,,
Shipibo,sh_22,7.8,-0.6654054054054059,Comprehension,Ami/Poa,Morado,1,325,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Comprehension,Barin Poi,Mierda sol,1,320,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Comprehension,Joshin,Rojo,2,"245, 325",1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Comprehension,Joxo,Blanco,1,274,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Comprehension,Nai,Celeste,1,1,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Comprehension,Panshin,Amarillo,1,297,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Comprehension,Pei/Xo,Verde,2,"234, 320",0.5,0.5,0,62.08941536204057
Shipibo,sh_22,7.8,-0.6654054054054059,Comprehension,Wiso,Negro,1,312,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Comprehension,Yankon,Azul/Verde,4,"234, 320, 1, 297",0.75,0.75,1,
Shipibo,sh_22,7.8,-0.6654054054054059,Production,1,Celeste,1,Nai,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Production,234,Verde,1,Yankon,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Production,245,Rojo,1,Joshin,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Production,274,Blanco,1,Joxo,1,1,,
Shipibo,sh_22,7.8,-0.6654054054054059,Production,297,Amarillo,2,"Panshin, Amarillo",0.5,1,,
