Language,subj,edad,género,lugar de grabación,grabación,fecha,age,task,prompt,age_interval,response_num,response,correct,spanish,adjacency,dist,correct_switch
Shipibo,sh_6,8,masculino,bilingue,2,17/07/2017,8.2,Comprehension,Yankon,8,1,234,1,Azul/Verde,1,,
Shipibo,sh_6,8,masculino,bilingue,2,17/07/2017,8.2,Comprehension,Joshin,8,1,245,1,Rojo,,,
Shipibo,sh_6,8,masculino,bilingue,2,17/07/2017,8.2,Comprehension,Pei/Xo,8,1,234,1,Verde,,,
Shipibo,sh_6,8,masculino,bilingue,2,17/07/2017,8.2,Comprehension,Panshin,8,1,297,1,Amarillo,,,
Shipibo,sh_6,8,masculino,bilingue,2,17/07/2017,8.2,Comprehension,Nai,8,1,320,0,Celeste,0,98.427042015901307,
Shipibo,sh_6,8,masculino,bilingue,2,17/07/2017,8.2,Comprehension,Joxo,8,1,274,1,Blanco,,,
Shipibo,sh_6,8,masculino,bilingue,2,17/07/2017,8.2,Comprehension,Ami/Poa,8,1,,0,Morado,,,
Shipibo,sh_6,8,masculino,bilingue,2,17/07/2017,8.2,Comprehension,Barin Poi,8,1,297,0,Mierda sol,0,61.75681419892059,
Shipibo,sh_7,5,masculino,bilingue,3,17/07/2017,5.7,Comprehension,Wiso,6,1,325,0,Negro,1,49.65288410555826,
Shipibo,sh_7,5,masculino,bilingue,3,17/07/2017,5.7,Comprehension,Yankon,6,1,274,0,Azul/Verde,1,,
Shipibo,sh_7,5,masculino,bilingue,3,17/07/2017,5.7,Comprehension,Joshin,6,1,245,1,Rojo,,,
Shipibo,sh_7,5,masculino,bilingue,3,17/07/2017,5.7,Comprehension,Pei/Xo,6,1,312,0,Verde,0,59.60879549194061,
Shipibo,sh_7,5,masculino,bilingue,3,17/07/2017,5.7,Comprehension,Panshin,6,1,1,0,Amarillo,0,150.06082933264096,
Shipibo,sh_7,5,masculino,bilingue,3,17/07/2017,5.7,Comprehension,Nai,6,1,274,0,Celeste,0,49.223397891653114,
Shipibo,sh_7,5,masculino,bilingue,3,17/07/2017,5.7,Comprehension,Joxo,6,1,1,0,Blanco,0,49.223397891653114,
Shipibo,sh_7,5,masculino,bilingue,3,17/07/2017,5.7,Comprehension,Ami/Poa,6,1,234,0,Morado,0,104.20868389918375,
Shipibo,sh_7,5,masculino,bilingue,3,17/07/2017,5.7,Comprehension,Barin Poi,6,1,297,0,Mierda sol,0,61.75681419892059,
Shipibo,sh_8,8,femenino,bilingue,4,17/07/2017,8.9,Comprehension,Wiso,9,1,312,1,Negro,,,
Shipibo,sh_8,8,femenino,bilingue,4,17/07/2017,8.9,Comprehension,Yankon,9,1,320,1,Azul/Verde,1,,
Shipibo,sh_8,8,femenino,bilingue,4,17/07/2017,8.9,Comprehension,Joshin,9,1,245,1,Rojo,,,
Shipibo,sh_8,8,femenino,bilingue,4,17/07/2017,8.9,Comprehension,Pei/Xo,9,1,274,0,Verde,0,74.88113647641842,
Shipibo,sh_8,8,femenino,bilingue,4,17/07/2017,8.9,Comprehension,Panshin,9,1,297,1,Amarillo,,,
Shipibo,sh_8,8,femenino,bilingue,4,17/07/2017,8.9,Comprehension,Nai,9,1,1,1,Celeste,,,
Shipibo,sh_8,8,femenino,bilingue,4,17/07/2017,8.9,Comprehension,Joxo,9,1,274,1,Blanco,,,
Shipibo,sh_8,8,femenino,bilingue,4,17/07/2017,8.9,Comprehension,Ami/Poa,9,1,320,0,Morado,0,100.49231861192177,
Shipibo,sh_8,8,femenino,bilingue,4,17/07/2017,8.9,Comprehension,Barin Poi,9,1,297,0,Mierda sol,0,61.75681419892059,
Shipibo,sh_9,8,masculino,bilingue,9,17/07/2017,8.3,Comprehension,Wiso,8,1,312,1,Negro,,,
Shipibo,sh_9,8,masculino,bilingue,9,17/07/2017,8.3,Comprehension,Yankon,8,1,234,1,Azul/Verde,1,,
Shipibo,sh_9,8,masculino,bilingue,9,17/07/2017,8.3,Comprehension,Joshin,8,1,245,1,Rojo,,,
Shipibo,sh_9,8,masculino,bilingue,9,17/07/2017,8.3,Comprehension,Pei/Xo,8,1,297,0,Verde,0,119.88323068719829,
Shipibo,sh_9,8,masculino,bilingue,9,17/07/2017,8.3,Comprehension,Panshin,8,1,297,1,Amarillo,,,
Shipibo,sh_9,8,masculino,bilingue,9,17/07/2017,8.3,Comprehension,Nai,8,1,274,0,Celeste,0,49.223397891653114,
Shipibo,sh_9,8,masculino,bilingue,9,17/07/2017,8.3,Comprehension,Joxo,8,1,274,1,Blanco,,,
Shipibo,sh_9,8,masculino,bilingue,9,17/07/2017,8.3,Comprehension,Ami/Poa,8,1,245,0,Morado,1,66.94457558308963,
Shipibo,sh_9,8,masculino,bilingue,9,17/07/2017,8.3,Comprehension,Barin Poi,8,1,320,1,Mierda sol,,,
Shipibo,sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7,Comprehension,Wiso,7,1,312,1,Negro,,,
Shipibo,sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7,Comprehension,Yankon,7,1,234,1,Azul/Verde,1,,
Shipibo,sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7,Comprehension,Joshin,7,1,245,1,Rojo,,,
Shipibo,sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7,Comprehension,Pei/Xo,7,1,234,1,Verde,,,
Shipibo,sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7,Comprehension,Panshin,7,1,297,1,Amarillo,,,
Shipibo,sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7,Comprehension,Nai,7,1,1,1,Celeste,,,
Shipibo,sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7,Comprehension,Joxo,7,1,274,1,Blanco,,,
Shipibo,sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7,Comprehension,Ami/Poa,7,1,325,1,Morado,,,
Shipibo,sh_10,7,masculino,c.c.n.n. (bahuanisho),1,02/08/2017,7,Comprehension,Barin Poi,7,1,234,0,Mierda sol,0,62.08941536204057,
Shipibo,sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9,Comprehension,Wiso,7,1,234,0,Negro,0,59.60879549194061,
Shipibo,sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9,Comprehension,Yankon,7,1,245,0,Azul/Verde,1,,
Shipibo,sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9,Comprehension,Joshin,7,1,325,1,Rojo,1,66.94457558308963,
Shipibo,sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9,Comprehension,Pei/Xo,7,1,234,1,Verde,,,
Shipibo,sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9,Comprehension,Panshin,7,1,1,0,Amarillo,0,150.06082933264096,
Shipibo,sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9,Comprehension,Nai,7,1,297,0,Celeste,0,150.06082933264096,
Shipibo,sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9,Comprehension,Joxo,7,1,312,0,Blanco,0,70.54001772044006,
Shipibo,sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9,Comprehension,Ami/Poa,7,1,325,1,Morado,,,
Shipibo,sh_11,6,masculino,c.c.n.n. (bahuanisho),2,02/08/2017,6.9,Comprehension,Barin Poi,7,1,320,1,Mierda sol,,,
Shipibo,sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5,Comprehension,Wiso,6,1,312,1,Negro,,,
Shipibo,sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5,Comprehension,Yankon,6,1,234,1,Azul/Verde,1,,
Shipibo,sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5,Comprehension,Joshin,6,1,245,1,Rojo,,,
Shipibo,sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5,Comprehension,Pei/Xo,6,1,297,0,Verde,0,119.88323068719829,
Shipibo,sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5,Comprehension,Panshin,6,1,1,0,Amarillo,0,150.06082933264096,
Shipibo,sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5,Comprehension,Nai,6,1,274,0,Celeste,0,49.223397891653114,
Shipibo,sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5,Comprehension,Joxo,6,1,234,0,Blanco,0,74.88113647641842,
Shipibo,sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5,Comprehension,Ami/Poa,6,1,320,0,Morado,0,100.49231861192177,
Shipibo,sh_12,5,femenino,c.c.n.n. (bahuanisho),3,02/08/2017,6.5,Comprehension,Barin Poi,6,1,312,0,Mierda sol,1,67.19189385632764,
Shipibo,sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6,Comprehension,Wiso,6,1,312,1,Negro,,,
Shipibo,sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6,Comprehension,Yankon,6,1,234,1,Azul/Verde,1,,
Shipibo,sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6,Comprehension,Joshin,6,1,245,1,Rojo,,,
Shipibo,sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6,Comprehension,Pei/Xo,6,1,234,1,Verde,,,
Shipibo,sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6,Comprehension,Panshin,6,1,297,1,Amarillo,,,
Shipibo,sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6,Comprehension,Nai,6,1,1,1,Celeste,,,
Shipibo,sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6,Comprehension,Joxo,6,1,274,1,Blanco,,,
Shipibo,sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6,Comprehension,Ami/Poa,6,1,325,1,Morado,,,
Shipibo,sh_13,6,femenino,c.c.n.n. (bahuanisho),4,02/08/2017,6,Comprehension,Barin Poi,6,1,297,0,Mierda sol,0,61.75681419892059,
Shipibo,sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3,Comprehension,Wiso,6,1,312,1,Negro,,,
Shipibo,sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3,Comprehension,Yankon,6,1,325,1,Azul/Verde,1,,
Shipibo,sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3,Comprehension,Joshin,6,1,245,1,Rojo,,,
Shipibo,sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3,Comprehension,Pei/Xo,6,1,234,1,Verde,,,
Shipibo,sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3,Comprehension,Panshin,6,1,320,0,Amarillo,0,61.75681419892059,
Shipibo,sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3,Comprehension,Nai,6,1,325,0,Celeste,0,58.349317905182055,
Shipibo,sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3,Comprehension,Joxo,6,1,274,1,Blanco,,,
Shipibo,sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3,Comprehension,Ami/Poa,6,1,325,1,Morado,,,
Shipibo,sh_14,6,masculino,c.c.n.n. (bahuanisho),5,02/08/2017,6.3,Comprehension,Barin Poi,6,1,320,1,Mierda sol,,,
Shipibo,sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4,Comprehension,Wiso,8,1,312,1,Negro,,,
Shipibo,sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4,Comprehension,Yankon,8,1,234,1,Azul/Verde,1,,
Shipibo,sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4,Comprehension,Joshin,8,1,245,1,Rojo,,,
Shipibo,sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4,Comprehension,Pei/Xo,8,1,234,1,Verde,,,
Shipibo,sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4,Comprehension,Panshin,8,1,297,1,Amarillo,,,
Shipibo,sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4,Comprehension,Nai,8,1,1,1,Celeste,,,
Shipibo,sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4,Comprehension,Joxo,8,1,274,1,Blanco,,,
Shipibo,sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4,Comprehension,Ami/Poa,8,1,325,1,Morado,,,
Shipibo,sh_15,8,femenino,c.c.n.n. (bahuanisho),1,03/08/2017,8.4,Comprehension,Barin Poi,8,1,320,1,Mierda sol,,,
Shipibo,sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3,Comprehension,Wiso,7,1,312,1,Negro,,,
Shipibo,sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3,Comprehension,Yankon,7,1,234,1,Azul/Verde,1,,
Shipibo,sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3,Comprehension,Joshin,7,1,245,1,Rojo,,,
Shipibo,sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3,Comprehension,Pei/Xo,7,1,234,1,Verde,,,
Shipibo,sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3,Comprehension,Panshin,7,1,297,1,Amarillo,,,
Shipibo,sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3,Comprehension,Nai,7,1,1,1,Celeste,,,
Shipibo,sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3,Comprehension,Joxo,7,1,274,1,Blanco,,,
Shipibo,sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3,Comprehension,Ami/Poa,7,1,325,1,Morado,,,
Shipibo,sh_16,7,femenino,c.c.n.n. (bahuanisho),2,03/08/2017,7.3,Comprehension,Barin Poi,7,1,320,1,Mierda sol,,,
Shipibo,sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3,Comprehension,Wiso,9,1,312,1,Negro,,,
Shipibo,sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3,Comprehension,Yankon,9,1,1,1,Azul/Verde,1,,
Shipibo,sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3,Comprehension,Joshin,9,1,245,1,Rojo,,,
Shipibo,sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3,Comprehension,Pei/Xo,9,1,234,1,Verde,,,
Shipibo,sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3,Comprehension,Panshin,9,1,297,1,Amarillo,,,
Shipibo,sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3,Comprehension,Nai,9,1,1,1,Celeste,,,
Shipibo,sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3,Comprehension,Joxo,9,1,274,1,Blanco,,,
Shipibo,sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3,Comprehension,Ami/Poa,9,1,325,1,Morado,,,
Shipibo,sh_17,9,masculino,c.c.n.n. (bahuanisho),3,03/08/2017,9.3,Comprehension,Barin Poi,9,1,320,1,Mierda sol,,,
Shipibo,sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,8,Comprehension,Wiso,8,1,312,1,Negro,,,
Shipibo,sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,8,Comprehension,Yankon,8,1,234,1,Azul/Verde,1,,
Shipibo,sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,8,Comprehension,Joshin,8,1,245,1,Rojo,,,
Shipibo,sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,8,Comprehension,Pei/Xo,8,1,234,1,Verde,,,
Shipibo,sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,8,Comprehension,Panshin,8,1,297,1,Amarillo,,,
Shipibo,sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,8,Comprehension,Nai,8,1,325,0,Celeste,0,58.349317905182055,
Shipibo,sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,8,Comprehension,Joxo,8,1,274,1,Blanco,,,
Shipibo,sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,8,Comprehension,Ami/Poa,8,1,1,0,Morado,0,58.349317905182055,
Shipibo,sh_18,8,femenino,c.c.n.n. (bahuanisho),4,03/08/2017,8,Comprehension,Barin Poi,8,1,297,0,Mierda sol,0,61.75681419892059,
Shipibo,sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,6,Comprehension,Wiso,6,1,312,1,Negro,,,
Shipibo,sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,6,Comprehension,Yankon,6,1,297,0,Azul/Verde,1,,
Shipibo,sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,6,Comprehension,Joshin,6,1,245,1,Rojo,,,
Shipibo,sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,6,Comprehension,Pei/Xo,6,1,234,1,Verde,,,
Shipibo,sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,6,Comprehension,Panshin,6,1,325,0,Amarillo,0,146.31869463605804,
Shipibo,sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,6,Comprehension,Nai,6,1,1,1,Celeste,,,
Shipibo,sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,6,Comprehension,Joxo,6,1,274,1,Blanco,,,
Shipibo,sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,6,Comprehension,Ami/Poa,6,1,320,0,Morado,0,100.49231861192177,
Shipibo,sh_19,6,femenino,c.c.n.n. (bahuanisho),5,03/08/2017,6,Comprehension,Barin Poi,6,1,320,1,Mierda sol,,,
Shipibo,sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6,Comprehension,Wiso,7,1,234,0,Negro,0,59.60879549194061,
Shipibo,sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6,Comprehension,Yankon,7,1,245,0,Azul/Verde,1,,
Shipibo,sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6,Comprehension,Joshin,7,1,245,1,Rojo,,,
Shipibo,sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6,Comprehension,Pei/Xo,7,1,325,0,Verde,0,104.20868389918375,
Shipibo,sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6,Comprehension,Panshin,7,1,234,0,Amarillo,0,119.88323068719829,
Shipibo,sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6,Comprehension,Nai,7,1,1,1,Celeste,,,
Shipibo,sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6,Comprehension,Joxo,7,1,274,1,Blanco,,,
Shipibo,sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6,Comprehension,Ami/Poa,7,1,320,0,Morado,0,100.49231861192177,
Shipibo,sh_20,6,masculino,c.c.n.n. (bahuanisho),6,03/08/2017,6.6,Comprehension,Barin Poi,7,1,312,0,Mierda sol,1,67.19189385632764,
Shipibo,sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5,Comprehension,Wiso,10,1,312,1,Negro,,,
Shipibo,sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5,Comprehension,Yankon,10,1,1,1,Azul/Verde,1,,
Shipibo,sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5,Comprehension,Joshin,10,1,245,1,Rojo,,,
Shipibo,sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5,Comprehension,Pei/Xo,10,1,234,1,Verde,,,
Shipibo,sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5,Comprehension,Panshin,10,1,297,1,Amarillo,,,
Shipibo,sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5,Comprehension,Nai,10,1,1,1,Celeste,,,
Shipibo,sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5,Comprehension,Joxo,10,1,274,1,Blanco,,,
Shipibo,sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5,Comprehension,Ami/Poa,10,1,325,1,Morado,,,
Shipibo,sh_21,9,masculino,c.c.n.n. (bahuanisho),7,03/08/2017,9.5,Comprehension,Barin Poi,10,1,320,1,Mierda sol,,,
Shipibo,sh_22,7,femenino,c.c.n.n. (bahuanisho),8,03/08/2017,7.8,Comprehension,Wiso,8,1,312,1,Negro,,,
Shipibo,sh_22,7,femenino,c.c.n.n. (bahuanisho),8,03/08/2017,7.8,Comprehension,Yankon,8,1,234,1,Azul/Verde,1,,
Shipibo,sh_22,7,femenino,c.c.n.n. (bahuanisho),8,03/08/2017,7.8,Comprehension,Joshin,8,1,245,1,Rojo,,,
Shipibo,sh_22,7,femenino,c.c.n.n. (bahuanisho),8,03/08/2017,7.8,Comprehension,Pei/Xo,8,1,234,1,Verde,,,
